,line1,line2
14,"Footnote: 71. Josephine Lukito & Chris Wells, Most Major Outlets Have Used Russian Tweets as Sources for Partisan Opinion: Study, Columbia Journalism Review (Mar. 8, 2018); see also Twitter Steps Up to Explain #NewYorkValues to Ted Cruz, Washington Post (Jan. 15, 2016)(citing IRA tweet); People Are Slamming the CIA for Claiming Russia Tried to Help Donald Trump, U.S. News & World Report (Dec. 12, 2016).","profile U.S. persons, including former Ambassador Michael McFaul,72 Roger Stone,73 Sean Hannity, 74 and Michael Flynn Jr.,75 retweeted or responded to tweets posted to these IRA-controlled accounts. Multiple individuals affiliated with the Trump Campaign also promoted IRA tweets (discussed below). b. IRA Botnet Activities [Harm to Ongoing Matter] [Harm to Ongoing Matter] [Harm to Ongoing Matter] In January 2018, Twitter publicly identified 3,814 Twitter accounts associated with the IRA.79 According to Twitter, in the ten weeks before the 2016 U.S. presidential election, these accounts posted approximately 175,993 tweets, approximately 8.4% of which were election-"
15,"Footnote: 76. A botnet refers to a network of private computers or accounts controlled as a group to send specific automated messages. On the Twitter network, botnets can be used to promote and republish (""retweet"") specific tweets or hashtags in order for them to gain larger audiences.","Footnote: 77. [Harm to Ongoing Matter] 78 [Harm to Ongoing Matter] 79 Eli Rosenberg, Twitter to Tell 677,000 Users they Were Had by the Russians. Some Signs Show the Problem Continues, Washington Post (Jan. 19, 2019)."
16,"WHERE STEEL PLAZA, PITTSBURGH MARCONY PLAZA, PHILLY Many of the same IRA employees who oversaw the IRA'S social media accounts also conducted the day-to-day recruiting for political rallies inside the United States.","[Harm to Ongoing Matter] AI TRUMPPENCE 2016 IRA Poster for Pennsylvania Rallies organized by the IRA 6. Targeting and Recruitment of U.S. Persons As early as 2014, the IRA instructed its employees to target U.S. persons who could be used to advance its operational goals. Initially, recruitment focused on U.S. persons who could amplify the content posted by the IRA. [Harm to Ongoing Matter] [Harm to Ongoing Matter] IRA employees frequently used Investigative Technique Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group. The IRA recruited U.S. persons from across the political spectrum. For example, the IRA targeted the family of [Personal Privacy] and a number of black social justice activists"
17,"Footnote: 105. 8/23/16 Facebook Message, ID 100009922908461 (Matt Skiber) to ID [Personal Privacy]","[Harm to Ongoing Matter] 106 b. Contact with Trump Campaign Officials in Connection to Rallies Starting in June 2016, the IRA contacted different U.S. persons affiliated with the Trump Campaign in an effort to coordinate pro-Trump IRA-organized rallies inside the United States. In all cases, the IRA contacted the Campaign while claiming to be U.S. political activists working on behalf of a conservative grassroots organization. The IRA's contacts included requests for signs and other materials to use at rallies, 107 as well as requests to promote the rallies and help coordinate logistics.108 While certain campaign volunteers agreed to provide the requested support (for example, agreeing to set aside a number of signs), the investigation has not identified evidence that any Trump Campaign official understood the requests were coming from foreign nationals. sk * * In sum, the investigation established that Russia interfered in the 2016 presidential election through the ""active measures"" social media campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled. As explained further in Volume I, Section V.A, infra, the Office concluded (and a grand jury has alleged) that Prigozhin, his companies, and IRA employees violated U.S. law through these operations, principally by undermining through deceptive acts the work of federal agencies charged with regulating foreign influence in U.S. elections."
18,"III. RUSSIAN HACKING AND DUMPING OPERATIONS Beginning in March 2016, units of the Russian Federation's Main Intelligence Directorate of the General Staff (GRU) hacked the computers and email accounts of organizations, employees, and volunteers supporting the Clinton Campaign, including the email account of campaign chairman John Podesta. Starting in April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC). The GRU targeted hundreds of email accounts used by Clinton Campaign employees, advisors, and volunteers. In total, the GRU stole hundreds of thousands of documents from the compromised email accounts and networks.109 The GRU later released stolen Clinton Campaign and DNC documents through online personas, ""DCLeaks"" and ""Guccifer 2.0,"" and later through the organization WikiLeaks. The release of the documents was designed and timed to interfere with the 2016 U.S. presidential election and undermine the Clinton Campaign.","The Trump Campaign showed interest in the WikiLeaks releases and, in the summer and fall of 2016, [Harm to Ongoing Matter] After [Harm to Ongoing Matter] WikiLeaks's first Clinton-related release [Harm to Ongoing Matter] , the Trump Campaign stayed in contact [Harm to Ongoing Matter] about WikiLeaks's activities. The investigation was unable to resolve [Harm to Ongoing Matter] WikiLeaks's release of the stolen Podesta emails on October 7, 2016, the same day a video from years earlier was published of Trump using graphic language about women."
19,Footnote: 153. Netyksho Indictment 943(c).,"a former The GRU was also in contact through the Guccifer 2.0 persona with [Harm to Ongoing Matter] Trump Campaign member [Harm to Ongoing Matter] 154 In early August 2016, [Harm to Ongoing Matter] Twitter's suspension of the Guccifer 2.0 Twitter account. After it was reinstated, GRU officers posing as Guccifer 2.0 wrote [Harm to Ongoing Matter] via private message, ""thank u for writing back... do u find anyt[h] ing interesting in the docs i posted?"" On August 17, 2016, the GRU added, ""please tell me if i can help u anyhow ... it would be a great pleasure to me."" On September 9, 2016, the GRU -- again posing as Guccifer 2.0 -- referred to a stolen DCCC document posted online and asked [Harm to Ongoing Matter] ""what do u think of the info on the turnout model for the democrats entire presidential campaign."" [Harm to Ongoing Matter] responded, ""pretty standard."":155 The investigation did not identify evidence of other communications between [Harm to Ongoing Matter] and Guccifer 2.0."
20,"3. Use of WikiLeaks In order to expand its interference in the 2016 U.S. presidential election, the GRU units transferred many of the documents they stole from the DNC and the chairman of the Clinton Campaign to WikiLeaks. GRU officers used both the DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks through Twitter private messaging and through encrypted channels, including possibly through WikiLeaks's private communication system.",".a. WikiLeaks's Expressed Opposition Toward the Clinton Campaign WikiLeaks, and particularly its founder Julian Assange, privately expressed opposition to candidate Clinton well before the first release of stolen documents. In November 2015, Assange wrote to other members and associates of WikiLeaks that ""[w] e believe it would be much better for GOP to win... Dems+Media+liberals woudl [sic] then form a block to reign in their worst qualities.... With Hillary in charge, GOP will be pushing for her worst qualities., dems+media+neoliberals will be mute.... She's a bright, well connected, sadisitic sociopath.""156 In March 2016, WikiLeaks released a searchable archive of approximately 30,000 Clinton emails that had been obtained through FOIA litigation.157 While designing the archive, one WikiLeaks member explained the reason for building the archive to another associate: 154 [Harm to Ongoing Matter] 155 [Harm to Ongoing Matter] 156 11/19/15 Twitter Group Chat, Group ID 594242937858486276, @WikiLeaks et al. Assange also wrote that, ""GOP will generate a lot oposition [sic] , including through dumb moves. Hillary will do the same thing, but co-opt the liberal opposition and the GOP opposition. Hence hillary has greater freedom to start wars than the GOP and has the will to do so."" Id."
21,"them to [Personal Privacy] account that they controlled; from there, the copies were moved to GRU- controlled computers. The GRU stole approximately 300 gigabytes of data from the DNC cloud-based account.185 2. Intrusions Targeting the Administration of U.S. Elections In addition to targeting individuals involved in the Clinton Campaign, GRU officers also targeted individuals and entities involved in the administration of the elections. Victims included U.S. state and local entities, such as state boards of elections (SBOEs), secretaries of state, and county governments, as well as individuals who worked for those entities.186 The GRU also targeted private technology firms responsible for manufacturing and administering election-related software and hardware, such as voter registration software and electronic polling stations. 187 The GRU continued to target these victims through the elections in November 2016. While the investigation identified evidence that the GRU targeted these individuals and entities, the Office did not investigate further. The Office did not, for instance, obtain or examine servers or other relevant items belonging to these victims. The Office understands that the FBI, the U.S.","Department of [Harm to Ongoing Matter] eland Security, and the states have separately investigated that activity."
22,"Unit 74455 also sent spearphishing emails to public officials involved in election administration and personnel at companies involved in voting technology. In August 2016, GRU officers targeted employees of [Personal Privacy] , a voting technology company that developed software used by numerous U.S. counties to manage voter rolls, and installed malware on the company network. Similarly, in November 2016, the GRU sent spearphishing emails to over 120 email accounts used by Florida county officials responsible for administering the 2016 U.S. election.191 The spearphishing emails contained an attached Word document coded with malicious software (commonly referred to as a Trojan) that permitted the GRU to access the infected computer. 192 The FBI was separately responsible for this investigation. We understand the FBI believes that this operation enabled the GRU to gain access to the network of at least one Florida county government. The Office did not independently verify that belief and, as explained above, did not undertake the investigative steps that would have been necessary to do so.",D. Trump Campaign and the Dissemination of Hacked Materials The Trump Campaign showed interest in WikiLeaks's releases of hacked materials throughout the summer and fall of 2016. [Harm to Ongoing Matter] 1. [Harm to Ongoing Matter] a. Background [Harm to Ongoing Matter] 191 Netyksho Indictment 9 76; Investigative Technique 192 Investigative Technique
23,Footnote: 198. Grand Jury,"Michael Cohen, former executive vice president of the Trump Organization and special counsel to Donald J. Trump,199 told the Office that he recalled an incident in which he was in candidate Trump's office in Trump Tower [Harm to Ongoing Matter] 200 [Harm to Ongoing Matter] 201 Cohen further told the Office that, after WikiLeaks's subsequent release of stolen DNC emails in July 2016, candidate Trump said to Cohen something to the effect of, [Harm to Ongoing Matter] 202 [Harm to Ongoing Matter] According to Gates, Manafort expressed excitement about the release [Harm to Ongoing Matter] 203 Manafort, for his part, told the Office that, shortly after WikiLeaks's July 22 release, Manafort also spoke with candidate Trump [Harm to Ongoing Matter] 204 [Harm to Ongoing Matter] 205 Manafort also [Harm to Ongoing Matter] wanted to be kept apprised of any 199 In November 2018, Cohen pleaded guilty pursuant to a plea agreement to a single-count information charging him with making false statements to Congress, in violation of 18 U.S.C. § 1001(a) & (c). He had previously pleaded guilty to several other criminal charges brought by the U.S. Attorney's Office in the Southern District of New York, after a referral from this Office. In the months leading up to his false-statements guilty plea, Cohen met with our Office on multiple occasions for interviews and provided information that the Office has generally assessed to be reliable and that is included in this report."
24,Footnote: 205. Grand Jury,"about future developments with WikiLeaks and separately told Gates to keep in touch [Harm to Ongoing Matter] WikiLeaks releases 206 According to Gates, by the late summer of 2016, the Trump Campaign was planning a press strategy, a communications campaign, and messaging based on the possible release of Clinton emails by WikiLeaks.207 [Harm to Ongoing Matter] | 208 [Harm to Ongoing Matter] while Trump and Gates were driving to LaGuardia Airport."
25,"Footnote: 213. Corsi 10/31/18 302, at 2; Grand Jury Corsi was first interviewed on September 6, 2018 at the Special Counsel's offices in Washington, D.C. He was accompanied by counsel throughout the interview. Corsi was subsequently interviewed on September 17, 2018; September 21, 2018; October 31, 2018; November 1, 2018; and November 2, 2018. Counsel was 54","[Harm to Ongoing Matter] 14 Corsi told the Office during interviews that he ""must have"" previously discussed Assange with Malloch.215 [Harm to Ongoing Matter] 216 [Harm to Ongoing Matter] 217 Grand Jury According to Malloch, Corsi asked him to put Corsi in touch with Assange, w [Harm to Ongoing Matter] Corsi wished to interview. Malloch recalled that Corsi also suggested that individuals in the ""orbit"" of U.K. politician Nigel Farage might be able to contact Assange and asked if Malloch knew them."
26,"Footnote: 270. 12/3/15 Email, Ledeen to Smith (attachment).","wrote, ""we can discuss to w [Harm to Ongoing Matter] it should be referred.""271 On December 16, 2015, Smith informed Ledeen that he declined to participate in her ""initiative."" According to one of Smith's business associates, Smith believed Ledeen's initiative was not viable at that time.272 Just weeks after Trump's July 2016 request to find the Clinton emails, however, Smith tried to locate and obtain the emails himself. He created a company, raised tens of thousands of dollars, and recruited security experts and business associates. Smith made claims to others involved in the effort (and those from w [Harm to Ongoing Matter] he sought funding) that he was in contact with hackers with ""ties and affiliations to Russia"" who had access to the emails, and that his efforts were coordinated with the Trump Campaign.273 On August 28, 2016, Smith sent an email from an encrypted account with the subject ""Sec."
27,* * *,"In sum, the investigation established that the GRU hacked into email accounts of persons affiliated with the Clinton Campaign, as well as the computers of the DNC and DCCC. The GRU then exfiltrated data related to the 2016 election from these accounts and computers, and disseminated that data through fictitious online personas (DCLeaks and Guccifer 2.0) and later through WikiLeaks. The investigation also established that the Trump Campaign displayed interest in the WikiLeaks releases, and that [Harm to Ongoing Matter] As explained in Volume I, Section V.B, infra, the evidence was sufficient to support computer-intrusion (and other) charges against GRU officers for their role in election-related hacking."
28,"Papadopoulos shared information about Russian ""dirt"" with people outside of the Campaign, and the Office investigated whether he also provided it to a Campaign official.","Papadopoulos and the Campaign officials with w [Harm to Ongoing Matter] he interacted told the Office that they did not recall that Papadopoulos passed them the information. Throughout the relevant period of time and for several months thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting between the Campaign and the Russian government. That meeting never came to pass. a. Origins of Campaign Work In March 2016, Papadopoulos became a foreign policy advisor to the Trump Campaign.395 As early as the summer of 2015, he had sought a role as a policy advisor to the Campaign but, in a September 30, 2015 email, he was told that the Campaign was not hiring policy advisors.396 In late 2015, Papadopoulos obtained a paid position on the campaign of Republican presidential candidate Ben Carson.397 Although Carson remained in the presidential race until early March 2016, Papadopoulos had stopped actively working for his campaign by early February 2016.998 At that time, Papadopoulos reached out to a contact at the London Centre of International Law Practice (LCILP), which billed itself as a ""unique institution... comprising high-level professional international law practitioners, dedicated to the advancement of global legal knowledge and the practice of international law.""399 Papadopoulos said that he had finished his role with the Carson 394 Papadopoulos met with our Office for debriefings on several occasions in the summer and fall of 2017, after he was arrested and charged in a sealed criminal complaint with making false statements in a January 2017 FBI interview about, inter alia, the timing, extent, and nature of his interactions and communications with Joseph Mifsud and two Russian nationals: Olga Polonskaya and Ivan Timofeev."
29,"Footnote: 650. Simes 3/8/18 302, at 27.","Footnote: 651. Simes 3/8/18 302, at 27. During this period of time, the Campaign received a request for a high-level Campaign official to meet with an officer at a Russian state-owned bank ""to discuss an offer [that officer) claims to be carrying from President Putin to meet with"" candidate Trump. NOSC00005653 (5/17/16 Email, Dearborn to Kushner (8:12 a.m.)). Copying Manafort and Gates, Kushner responded, ""Pass on this. A lot of people come claiming to carry messages. Very few are able to verify. For now I think we decline such meetings. Most likely these people go back [Harm to Ongoing Matter] e and claim they have special access to gain importance for themselves. Be careful."" NOSC00005653 (5/17/16 Email, Kushner to Dearborn)."
30,"Footnote: 716. Akhmetshin 11/14/17 302, at 4-6; Grand Jury 116","Russian-born translator who had assisted Veselnitskaya with Magnitsky-related lobbying and the Prevezon case, also attended the lunch.717 Grand Jury Veselnitskaya said she was meeting Grand Jury and asked Akhmetshin what she should tell him./18 According to several participants in the lunch, Veselnitskaya showed Akhmetshin a document alleging financial misconduct by Bill Browder and the Ziff brothers (Americans with business in Russia), and those individuals subsequently making political donations to the DNC.719 Grand Jury The group then went to Trump Tower for the meeting.721 ii. Conduct of the Meeting Trump Jr., Manafort, and Kushner participated on the Trump side, while Kaveladze, Samochornov, Akhmetshin, and Goldstone attended with Veselnitskaya.722 The Office spoke to every participant except Veselnitskaya and Trump Jr., the latter of w [Harm to Ongoing Matter] declined to be voluntarily interviewed by the Office Grand Jury The meeting lasted approximately 20 minutes. 723 Grand Jury 24 Goldstone recalled that Trump Jr. invited Veselnitskaya to begin but did not say anything about the subject of the meeting. -> Participants agreed that Veselnitskaya stated that the Ziff brothers had broken Russian laws and had donated their profits to the DNC or the Clinton Campaign.726 She asserted that the Ziff brothers had engaged in tax evasion and money laundering 717 Kaveladze 11/16/17 302, at 7; Grand Jury Samochornov 7/13/17 302, at 2, 4; Grand Jury 718 Grand Jury 719 Grand Jury Kaveladze 11/16/17 302, at 7; Grand Jury Samochornov did not recall the planned subject matter of the Trump Tower meeting coming up at lunch. Grand Jury Samochornov 7/12/17 302, at 4. In her later Senate statement and interactions with the press, Veselnitskaya produced what she claimed were the talking points that she brought to the June 9 meeting."
31,"Footnote: 820. Luff 1/30/18 302, at 5.","Senate Foreign Relations Committee and would meet with foreign officials in that capacity.821 But Sessions's staff reported, and Sessions himself acknowledged, that meeting requests from ambassadors increased substantially in 2016, as Sessions assumed a prominent role in the Trump Campaign and his name was mentioned for potential cabinet-level positions in a future Trump Administration.822 On September 8, 2016, Sessions met with Kislyak in his Senate office.823 Sessions said that he believed he was doing the Campaign a service by meeting with foreign ambassadors, including Kislyak.824 He was accompanied in the meeting by at least two of his Senate staff: Sandra Luff, his legislative director; and Pete Landrum, who handled military affairs.825 The meeting lasted less than 30 minutes. 826 Sessions voiced concerns about Russia's sale of a missile-defense system to Iran, Russian planes buzzing U.S. military assets in the Middle East, and Russian aggression in emerging democracies such as Ukraine and Moldova. 827 Kislyak offered explanations on these issues and complained about NATO land forces in former Soviet-bloc countries that border Russia. 828 Landrum recalled that Kislyak referred to the presidential campaign as ""an interesting campaign,829 and Sessions also recalled Kislyak saying that the Russian government was receptive to the overtures Trump had laid out during his campaign.830 None of the attendees, though, remembered any discussion of Russian election interference or any request that Sessions convey information from the Russian government to the Trump Campaign.831 During the meeting, Kislyak invited Sessions to further discuss U.S.-Russia relations with him over a meal at the ambassador's residence.832 Sessions was non-committal when Kislyak extended the invitation. After the meeting ended, Luff advised Sessions against accepting the one-on-one meeting with Kislyak, w [Harm to Ongoing Matter] she assessed to be an ""old school KGB guy.9833 Neither Luff nor Landrum recalled that Sessions followed up on the invitation or made any further effort to dine 821 Sessions 1/17/18 302, at 23-24; Luff 1/30/18 302, at 5."
